Rk,Player,Tm▲,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,-9999
377,Jabari Walker,POR,$1017781,$1719864,$2019699,,,,$1417781,walkeja01
378,Eric Bledsoe,POR,$1300000,$1300000,$1300000,,,,$3900000,bledser01
379,Greg Brown III,POR,$1563518,$1836096,,,,,$1563518,browngr01
380,Trendon Watford,POR,$1563518,$1836096,$1988598,,,,$5388212,watfotr01
381,Drew Eubanks,POR,$1836090,,,,,,$1836090,eubandr01
382,Keon Johnson,POR,$2681040,$2808720,$4474291,,,,$2681040,johnske07
383,Andrew Nicholson,POR,$2844430,$2844430,,,,,$5688860,nichoan01
384,Justise Winslow,POR,$4097561,,,,,,$4097561,winslju01
385,Nassir Little,POR,$4171548,,,,,,$4171548,littlna01
386,Shaedon Sharpe,POR,$6012960,$6313800,$6614160,$8399983,,,$12326760,sharpsh01
387,Gary Payton II,POR,$8300000,$8715000,$9130000,,,,$17015000,paytoga02
388,Josh Hart,POR,$12960000,$12960000,,,,,,hartjo01
389,Jusuf Nurkić,POR,$15625000,$16875000,$18125000,$19375000,,,$70000000,nurkiju01
390,Jerami Grant,POR,$20955000,,,,,,$20955000,grantje01
391,Anfernee Simons,POR,$22321429,$24107143,$25892857,$27678571,,,$100000000,simonan01
392,Damian Lillard,POR,$42492492,$45640084,$48787676,$58545211,$63228828,,$195465463,lillada01
393,Sam Merrill,SAC,$1836090,$1997238,,,,,$150000,merrisa01
394,Matthew Dellavedova,SAC,$1836090,,,,,,$250000,dellama01
395,Chimezie Metu,SAC,$1910860,,,,,,$1910860,metuch01
396,Trey Lyles,SAC,$2625000,,,,,,$2625000,lylestr01
397,Alex Len,SAC,$3918600,,,,,,$3918600,lenal01
398,Terence Davis,SAC,$4000000,,,,,,$4000000,daviste02
399,Davion Mitchell,SAC,$4833600,$5063640,$6451077,,,,$4833600,mitchda01
400,Keegan Murray,SAC,$8008440,$8409000,$8809560,$11144093,,,$16417440,murrake02
401,Malik Monk,SAC,$9472219,$9945830,,,,,$19418049,monkma01
402,Richaun Holmes,SAC,$11215260,$12046020,$12876780,,,,$23261280,holmeri01
